tag_name_verbose,addresses,tag_type_verbose,tag_subtype_verbose
Kraken.com,1zrxskXgcRnbjG9YuSFhJT19Vkboefci3bb4BhFFJoAuo5q,Exchange,Mandatory KYC and AML
Kraken.com,1zrwgkKHH9y4MhygGNwqJztjek3vsbsM9mWQZNDRXmVSrGr,Exchange,Mandatory KYC and AML
Kucoin.com,1zrwJaNxm5VGo4NkhXob8mKtXwX6wXuVyRJuLoeSWAH2eRF,Exchange,Mandatory KYC and AML
Kraken.com,1zrvybKQEbwUT74RKBs9a8vB3GxvabtppJGfxH87gNKmNRd,Exchange,Mandatory KYC and AML
Bybit.com,1zrvLVSRSTVFUcZRz1cLUHWYZZH8Jd8UiRqrvvukMULSXiY,Exchange,Mandatory KYC and AML
MEXC Global,1zrvC3Cba2URxXpvc4xipBkHGjRPS9XhWn7tumuPoB7pWH2,Exchange,Optional KYC and AML
Kucoin.com,1zrutPaeygzvH2gZB6uKnk11W3HD1buURagB8MS2gw9aaub,Exchange,Mandatory KYC and AML
Kraken.com,1zrtqceztRwdgShVLqeobqHKRd4UFQiaHJThjXxjR5FCBd8,Exchange,Mandatory KYC and AML
Nexo.io,1zrsTyBvFkb2MBM24epxMbNYbDsGUe2XzNzrrKAUg65Wga4,Exchange,Mandatory KYC and AML
Kraken.com,1zrrqDdbjRWgVaabiFTYZwUiyT8BqDzFHkZ4DoQJMGY655V,Exchange,Mandatory KYC and AML
ChangeNow.io,1zrqxZ4pSvRHjLv3LTgr2CiMy6pF2Wo3gRCrte6t6y6U2aS,Exchange,OTC
Kraken.com,1zro1ftmR9eA49vB9tncmYnhKq4DWmBrdvoCGeWNRQBZ6Lw,Exchange,Mandatory KYC and AML
Kraken.com,1zrmrqepfxfep1krijdKfTngZ5p81Qjd4Kh475SNgqXkxDh,Exchange,Mandatory KYC and AML
Okx.com,1zriWNnwXC8DUSPoosKyYL3hH4FCaMdggveJYQ5S8JysfGj,Exchange,Mandatory KYC and AML
